index|id|title|rank
0|5114|Fullmetal Alchemist: Brotherhood|1
1|11061|Hunter x Hunter (2011)|2
2|9253|Steins;Gate|3
3|21|One Piece|4
4|1535|Death Note|5
5|16498|Shingeki no Kyojin|6
6|1575|Code Geass: Hangyaku no Lelouch|7
7|1735|Naruto: Shippuuden|8
8|30|Neon Genesis Evangelion|9
9|32281|Kimi no Na wa.|10
10|38000|Kimetsu no Yaiba|11
11|23273|Shigatsu wa Kimi no Uso|12
12|28851|Koe no Katachi|13
13|1|Cowboy Bebop|14
14|2001|Tengen Toppa Gurren Lagann|15
15|40748|Jujutsu Kaisen (TV)|16
16|2904|Code Geass: Hangyaku no Lelouch R2|17
17|20|Naruto|18
18|20583|Haikyuu!!|19
19|4181|Clannad: After Story|20
20|11757|Sword Art Online|21
21|31240|Re:Zero kara Hajimeru Isekai Seikatsu|22
22|269|Bleach|23
23|30276|One Punch Man|24
24|918|Gintama|25
25|4224|Toradora!|26
26|33352|Violet Evergarden|27
27|31964|Boku no Hero Academia|28
28|38524|Shingeki no Kyojin Season 3 Part 2|29
29|40028|Shingeki no Kyojin: The Final Season|30
30|9756|Mahou Shoujo Madoka★Magica|31
31|22319|Tokyo Ghoul|32
32|5081|Bakemonogatari|33
33|19815|No Game No Life|34
34|6547|Angel Beats!|35
35|6702|Fairy Tail|36
36|31043|Boku dake ga Inai Machi|37
37|37450|Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai|38
38|30831|Kono Subarashii Sekai ni Shukufuku wo!|39
39|19|Monster|40
40|32182|Mob Psycho 100|41
41|34572|Black Clover|42
42|34599|Made in Abyss|43
43|13601|Psycho-Pass|44
44|18679|Kill la Kill|45
45|31933|JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai|46
46|37999|Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen|47
47|205|Samurai Champloo|48
48|37521|Vinland Saga|49
49|14719|JoJo no Kimyou na Bouken (TV)|50
50|813|Dragon Ball Z|51
51|10087|Fate/Zero|52
52|9989|Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.|53
53|22535|Kiseijuu: Sei no Kakuritsu|54
54|37779|Yakusoku no Neverland|55
55|20507|Noragami|56
56|853|Ouran Koukou Host Club|57
57|10620|Mirai Nikki (TV)|58
58|6746|Durarara!!|59
59|35849|Darling in the FranXX|60
60|37510|Mob Psycho 100 II|61
61|50265|Spy x Family|62
62|199|Sen to Chihiro no Kamikakushi|63
63|37991|JoJo no Kimyou na Bouken Part 5: Ougon no Kaze|64
64|42897|Horimiya|65
65|24833|Ansatsu Kyoushitsu|66
66|227|FLCL|67
67|36649|Banana Fish|68
68|14813|Yahari Ore no Seishun Love Comedy wa Machigatteiru.|69
69|2167|Clannad|70
70|48583|Shingeki no Kyojin: The Final Season Part 2|71
71|22199|Akame ga Kill!|72
72|28223|Death Parade|73
73|13759|Sakura-sou no Pet na Kanojo|74
74|35790|Tate no Yuusha no Nariagari|75
75|12189|Hyouka|76
76|33255|Saiki Kusuo no Ψ-nan|77
77|457|Mushishi|78
78|121|Fullmetal Alchemist|79
79|32|Neon Genesis Evangelion: The End of Evangelion|80
80|3588|Soul Eater|81
81|38691|Dr. Stone|82
82|37430|Tensei shitara Slime Datta Ken|83
83|431|Howl no Ugoku Shiro|84
84|1210|NHK ni Youkoso!|85
85|877|Nana|86
86|245|Great Teacher Onizuka|87
87|39535|Mushoku Tensei: Isekai Ittara Honki Dasu|88
88|42249|Tokyo Revengers|89
89|28171|Shokugeki no Souma|90
90|226|Elfen Lied|91
91|33|Kenpuu Denki Berserk|92
92|29803|Overlord|93
93|17074|Monogatari Series: Second Season|94
94|2251|Baccano!|95
95|339|Serial Experiments Lain|96
96|31478|Bungou Stray Dogs|97
97|5680|K-On!|98
98|4898|Kuroshitsuji|99
99|13125|Shinsekai yori|100
100|7054|Kaichou wa Maid-sama!|101
101|10165|Nichijou|102
102|11617|High School DxD|103
103|28999|Charlotte|104
104|35120|Devilman: Crybaby|105
105|47778|Kimetsu no Yaiba: Yuukaku-hen|106
106|23283|Zankyou no Terror|107
107|392|Yuu☆Yuu☆Hakusho|108
108|25777|Shingeki no Kyojin Season 2|109
109|934|Higurashi no Naku Koro ni|110
110|11771|Kuroko no Basket|111
111|777|Hellsing Ultimate|112
112|11741|Fate/Zero 2nd Season|113
113|32995|Yuri!!! on Ice|114
114|20899|JoJo no Kimyou na Bouken Part 3: Stardust Crusaders|115
