1|Trash of the Count’s Family|1|788|https://www.novelupdates.com/series/trash-of-the-counts-family/|No| Every 4.3 Day(s)

2|Everyone Else is a Returnee|2|0|https://www.novelupdates.com/series/everyone-else-is-a-returnee/|Yes| Every 2165 Day(s)

3|The Death Mage Who Doesn’t Want a Fourth Time|3|345|https://www.novelupdates.com/series/the-death-mage-who-doesnt-want-a-fourth-time/|No| Every 11.6 Day(s)

4|Tsuki ga Michibiku Isekai Douchuu|4|544|https://www.novelupdates.com/series/tsuki-ga-michibiku-isekai-douchuu/|No| Every 10.9 Day(s)

5|Tensei Shitara Slime Datta Ken (WN)|5|443|https://www.novelupdates.com/series/tensei-shitara-slime-datta-ken/|Yes| Every 16.6 Day(s)

6|Kumo Desu ga, Nani ka?|6|764|https://www.novelupdates.com/series/kumo-desu-ga-nani-ka/|Yes| Every 33.9 Day(s)

7|My Death Flags Show No Sign of Ending|7|126|https://www.novelupdates.com/series/my-death-flags-show-no-sign-of-ending/|No| Every 64.3 Day(s)

8|Death March kara Hajimaru Isekai Kyusoukyoku (WN)|8|718|https://www.novelupdates.com/series/death-march-kara-hajimaru-isekai-kyusoukyoku/|No| Every 6.7 Day(s)

9|Release that Witch|9|689|https://www.novelupdates.com/series/release-that-witch/|Yes| Every 448.9 Day(s)

10|Dungeon Defense|10|55|https://www.novelupdates.com/series/dungeon-defense/|Yes| Every 21.7 Day(s)

11|Common Sense of a Duke’s Daughter|11|418|https://www.novelupdates.com/series/common-sense-of-a-dukes-daughter/|Yes| Every 3.7 Day(s)

12|The Second Coming of Gluttony|12|55|https://www.novelupdates.com/series/the-second-coming-of-gluttony/|Yes| Every 74.2 Day(s)

13|Against the Gods|13|1930|https://www.novelupdates.com/series/against-the-gods/|No| Every 12.7 Day(s)

14|To Be a Power in the Shadows! (WN)|14|202|https://www.novelupdates.com/series/to-be-a-power-in-the-shadows/|Yes| Every 72.8 Day(s)

15|The Legendary Moonlight Sculptor|15|520|https://www.novelupdates.com/series/the-legendary-moonlight-sculptor/|Yes| Every 4.7 Day(s)

16|The Founder of Diabolism|16|223|https://www.novelupdates.com/series/the-founder-of-diabolism/|Yes| Every 32.5 Day(s)

17|Warlock of the Magus World|17|100|https://www.novelupdates.com/series/warlock-of-the-magus-world/|Yes| Every 327.3 Day(s)

18|Tales of Demons and Gods|18|502|https://www.novelupdates.com/series/tales-of-demons-and-gods/|No| Every 56.9 Day(s)

19|The New Gate (LN)|19|316|https://www.novelupdates.com/series/the-new-gate/|No| Every 21.1 Day(s)

